train_number,train_name,source_station,source_code,destination_station,destination_code,departure_time,arrival_time,distance_km,duration_hours,duration_min,stops,class_type,fare
11026,Pune Manmad Express,PUNE JN,PUNE,MANMAD JN,MMR,12.50.00,21.30.00,364,8,480,5,3A,613.3
11026,Pune Manmad Express,PUNE JN,PUNE,MANMAD JN,MMR,12.50.00,21.30.00,364,8,480,5,2A,1015.5
11027,Chhatrapati Shivaji Maharaj Terminus-Chennai Mail,Chhatrapati Shivaji Maharaj Terminus,CSMT,CHENNAI CENTRAL,MAS,23.45.00,4.55.00,1283,29,1740,16,SL,789.8
11027,Chhatrapati Shivaji Maharaj Terminus-Chennai Mail,Chhatrapati Shivaji Maharaj Terminus,CSMT,CHENNAI CENTRAL,MAS,23.45.00,4.55.00,1283,29,1740,16,3A,2060.72
11027,Chhatrapati Shivaji Maharaj Terminus-Chennai Mail,Chhatrapati Shivaji Maharaj Terminus,CSMT,CHENNAI CENTRAL,MAS,23.45.00,4.55.00,1283,29,1740,16,2A,3427.88
11029,Koyna Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.40.00,20.25.00,518,11,660,6,SL,330.8
11029,Koyna Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.40.00,20.25.00,518,11,660,6,3A,855.85
11029,Koyna Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.40.00,20.25.00,518,11,660,6,2A,1419.75
11030,Koyna Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,Chhatrapati Shivaji Maharaj Terminus,CSMT,7.55.00,20.22.00,518,12,720,6,SL,330.8
11030,Koyna Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,Chhatrapati Shivaji Maharaj Terminus,CSMT,7.55.00,20.22.00,518,12,720,6,3A,855.85
11030,Koyna Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,Chhatrapati Shivaji Maharaj Terminus,CSMT,7.55.00,20.22.00,518,12,720,6,2A,1419.75
11033,PUNE - DARBHANGA Gyan Ganga Exp,PUNE JN,PUNE,DARBHANGA JN,DBG,16.15.00,6.45.00,1948,38,2280,24,SL,1188.8
11033,PUNE - DARBHANGA Gyan Ganga Exp,PUNE JN,PUNE,DARBHANGA JN,DBG,16.15.00,6.45.00,1948,38,2280,24,3A,3108.1
11033,PUNE - DARBHANGA Gyan Ganga Exp,PUNE JN,PUNE,DARBHANGA JN,DBG,16.15.00,6.45.00,1948,38,2280,24,2A,5173.5
11035,Dadar-Mysore Sharavati Express,MUMBAI DADAR CENTRAL,DR,MYSORE JN,MYS,21.30.00,21.45.00,1212,24,1440,15,SL,747.2
11035,Dadar-Mysore Sharavati Express,MUMBAI DADAR CENTRAL,DR,MYSORE JN,MYS,21.30.00,21.45.00,1212,24,1440,15,3A,1948.9
11035,Dadar-Mysore Sharavati Express,MUMBAI DADAR CENTRAL,DR,MYSORE JN,MYS,21.30.00,21.45.00,1212,24,1440,15,2A,3241.5
11036,Mysore-Dadar Sharavati Express,MYSORE JN,MYS,MUMBAI DADAR CENTRAL,DR,6.15.00,5.50.00,1212,23,1380,15,SL,747.2
11036,Mysore-Dadar Sharavati Express,MYSORE JN,MYS,MUMBAI DADAR CENTRAL,DR,6.15.00,5.50.00,1212,23,1380,15,3A,1948.9
11036,Mysore-Dadar Sharavati Express,MYSORE JN,MYS,MUMBAI DADAR CENTRAL,DR,6.15.00,5.50.00,1212,23,1380,15,2A,3241.5
11037,PUNE - GORAKHPUR Exp,PUNE JN,PUNE,GORAKHPUR JN,GKP,16.15.00,1.15.00,1771,33,1980,22,SL,1082.6
11037,PUNE - GORAKHPUR Exp,PUNE JN,PUNE,GORAKHPUR JN,GKP,16.15.00,1.15.00,1771,33,1980,22,3A,2829.32
11037,PUNE - GORAKHPUR Exp,PUNE JN,PUNE,GORAKHPUR JN,GKP,16.15.00,1.15.00,1771,33,1980,22,2A,4708.88
11038,GORAKHPUR - PUNE Exp,GORAKHPUR JN,GKP,PUNE JN,PUNE,15.30.00,4.05.00,1771,36,2160,22,SL,1082.6
11038,GORAKHPUR - PUNE Exp,GORAKHPUR JN,GKP,PUNE JN,PUNE,15.30.00,4.05.00,1771,36,2160,22,3A,2829.32
11038,GORAKHPUR - PUNE Exp,GORAKHPUR JN,GKP,PUNE JN,PUNE,15.30.00,4.05.00,1771,36,2160,22,2A,4708.88
11039,Maharashtra Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,GONDIA JN,G,15.30.00,20.15.00,1346,28,1680,17,SL,827.6
11039,Maharashtra Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,GONDIA JN,G,15.30.00,20.15.00,1346,28,1680,17,3A,2159.95
11039,Maharashtra Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,GONDIA JN,G,15.30.00,20.15.00,1346,28,1680,17,2A,3593.25
11039-Slip,Kolhapur-Gorakhpur Express Slip,C SHAHU M RAJ KOLHAPUR TERM,KOP,GORAKHPUR JN,GKP,15.30.00,19.10.00,2107,51,3060,26,SL,1284.2
11039-Slip,Kolhapur-Gorakhpur Express Slip,C SHAHU M RAJ KOLHAPUR TERM,KOP,GORAKHPUR JN,GKP,15.30.00,19.10.00,2107,51,3060,26,3A,3358.53
11039-Slip,Kolhapur-Gorakhpur Express Slip,C SHAHU M RAJ KOLHAPUR TERM,KOP,GORAKHPUR JN,GKP,15.30.00,19.10.00,2107,51,3060,26,2A,5590.88
11040,Maharashtra Express,GONDIA JN,G,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.20.00,12.45.00,1346,28,1680,17,SL,827.6
11040,Maharashtra Express,GONDIA JN,G,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.20.00,12.45.00,1346,28,1680,17,3A,2159.95
11040,Maharashtra Express,GONDIA JN,G,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.20.00,12.45.00,1346,28,1680,17,2A,3593.25
11040-Slip,Gondia-Solapur Maharashtra Express Slip,GONDIA JN,G,SOLAPUR JN,SUR,8.20.00,8.50.00,1132,24,1440,14,SL,699.2
11040-Slip,Gondia-Solapur Maharashtra Express Slip,GONDIA JN,G,SOLAPUR JN,SUR,8.20.00,8.50.00,1132,24,1440,14,3A,1822.9
11040-Slip,Gondia-Solapur Maharashtra Express Slip,GONDIA JN,G,SOLAPUR JN,SUR,8.20.00,8.50.00,1132,24,1440,14,2A,3031.5
11041,Mumbai - Chennai Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,CHENNAI CENTRAL,MAS,14.00.00,16.45.00,1283,26,1560,16,SL,789.8
11041,Mumbai - Chennai Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,CHENNAI CENTRAL,MAS,14.00.00,16.45.00,1283,26,1560,16,3A,2060.72
11041,Mumbai - Chennai Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,CHENNAI CENTRAL,MAS,14.00.00,16.45.00,1283,26,1560,16,2A,3427.88
11043,MUMBAI LTT - MADURAI Exp,LOKMANYA TILAK TERMINUS,LTT,MADURAI JN,MDU,0.15.00,12.30.00,1702,36,2160,21,SL,1041.2
11043,MUMBAI LTT - MADURAI Exp,LOKMANYA TILAK TERMINUS,LTT,MADURAI JN,MDU,0.15.00,12.30.00,1702,36,2160,21,3A,2720.65
11043,MUMBAI LTT - MADURAI Exp,LOKMANYA TILAK TERMINUS,LTT,MADURAI JN,MDU,0.15.00,12.30.00,1702,36,2160,21,2A,4527.75
11044,MADURAI - MUMBAI LTT Exp,MADURAI JN,MDU,LOKMANYA TILAK TERMINUS,LTT,18.00.00,5.45.00,1702,35,2100,21,SL,1041.2
11044,MADURAI - MUMBAI LTT Exp,MADURAI JN,MDU,LOKMANYA TILAK TERMINUS,LTT,18.00.00,5.45.00,1702,35,2100,21,3A,2720.65
11044,MADURAI - MUMBAI LTT Exp,MADURAI JN,MDU,LOKMANYA TILAK TERMINUS,LTT,18.00.00,5.45.00,1702,35,2100,21,2A,4527.75
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,C SHAHU M RAJ KOLHAPUR TERM,KOP,DHANBAD JN,DHN,23.45.00,12.00.00,2968,60,3600,37,SL,1800.8
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,C SHAHU M RAJ KOLHAPUR TERM,KOP,DHANBAD JN,DHN,23.45.00,12.00.00,2968,60,3600,37,3A,4714.6
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,C SHAHU M RAJ KOLHAPUR TERM,KOP,DHANBAD JN,DHN,23.45.00,12.00.00,2968,60,3600,37,2A,7851
11047,Hubli Express,MIRAJ JN,MRJ,HUBLI JN,UBL,0.10.00,6.25.00,279,6,360,3,SL,187.4
11047,Hubli Express,MIRAJ JN,MRJ,HUBLI JN,UBL,0.10.00,6.25.00,279,6,360,3,3A,479.43
11047,Hubli Express,MIRAJ JN,MRJ,HUBLI JN,UBL,0.10.00,6.25.00,279,6,360,3,2A,792.38
11048,Hubli Miraj Express,HUBLI JN,UBL,MIRAJ JN,MRJ,23.00.00,5.15.00,279,6,360,3,SL,187.4
11048,Hubli Miraj Express,HUBLI JN,UBL,MIRAJ JN,MRJ,23.00.00,5.15.00,279,6,360,3,3A,479.43
11048,Hubli Miraj Express,HUBLI JN,UBL,MIRAJ JN,MRJ,23.00.00,5.15.00,279,6,360,3,2A,792.38
11049,Ahmedabad-Kolhapur Express,AHMEDABAD JN,ADI,C SHAHU M RAJ KOLHAPUR TERM,KOP,19.30.00,15.25.00,961,19,1140,12,SL,596.6
11049,Ahmedabad-Kolhapur Express,AHMEDABAD JN,ADI,C SHAHU M RAJ KOLHAPUR TERM,KOP,19.30.00,15.25.00,961,19,1140,12,3A,1553.58
11049,Ahmedabad-Kolhapur Express,AHMEDABAD JN,ADI,C SHAHU M RAJ KOLHAPUR TERM,KOP,19.30.00,15.25.00,961,19,1140,12,2A,2582.62
11050,Kolhapur-Ahmedabad Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,AHMEDABAD JN,ADI,12.50.00,7.45.00,961,18,1080,12,SL,596.6
11050,Kolhapur-Ahmedabad Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,AHMEDABAD JN,ADI,12.50.00,7.45.00,961,18,1080,12,3A,1553.58
11050,Kolhapur-Ahmedabad Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,AHMEDABAD JN,ADI,12.50.00,7.45.00,961,18,1080,12,2A,2582.62
11051,Solapur-Kolhapur Express,SOLAPUR JN,SUR,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.10.00,14.15.00,315,6,360,4,SL,209
11051,Solapur-Kolhapur Express,SOLAPUR JN,SUR,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.10.00,14.15.00,315,6,360,4,3A,536.12
11051,Solapur-Kolhapur Express,SOLAPUR JN,SUR,C SHAHU M RAJ KOLHAPUR TERM,KOP,8.10.00,14.15.00,315,6,360,4,2A,886.88
11052,Kolhapur Solapur Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,SOLAPUR JN,SUR,8.45.00,15.00.00,315,6,360,4,SL,209
11052,Kolhapur Solapur Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,SOLAPUR JN,SUR,8.45.00,15.00.00,315,6,360,4,3A,536.12
11052,Kolhapur Solapur Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,SOLAPUR JN,SUR,8.45.00,15.00.00,315,6,360,4,2A,886.88
11056,GORAKHPUR - MUMBAI LTT Exp,GORAKHPUR JN,GKP,LOKMANYA TILAK TERMINUS,LTT,6.25.00,16.05.00,1733,33,1980,22,SL,1059.8
11056,GORAKHPUR - MUMBAI LTT Exp,GORAKHPUR JN,GKP,LOKMANYA TILAK TERMINUS,LTT,6.25.00,16.05.00,1733,33,1980,22,3A,2769.47
11056,GORAKHPUR - MUMBAI LTT Exp,GORAKHPUR JN,GKP,LOKMANYA TILAK TERMINUS,LTT,6.25.00,16.05.00,1733,33,1980,22,2A,4609.12
11057,Dadar Amritsar Express,MUMBAI DADAR CENTRAL,DR,AMRITSAR JN,ASR,23.45.00,16.30.00,2037,40,2400,25,SL,1242.2
11057,Dadar Amritsar Express,MUMBAI DADAR CENTRAL,DR,AMRITSAR JN,ASR,23.45.00,16.30.00,2037,40,2400,25,3A,3248.28
11057,Dadar Amritsar Express,MUMBAI DADAR CENTRAL,DR,AMRITSAR JN,ASR,23.45.00,16.30.00,2037,40,2400,25,2A,5407.12
11057-Slip,Dadar Amritsar Express Slip,MUMBAI DADAR CENTRAL,DR,Dhule,DHI,23.45.00,7.25.00,375,7,420,5,SL,245
11057-Slip,Dadar Amritsar Express Slip,MUMBAI DADAR CENTRAL,DR,Dhule,DHI,23.45.00,7.25.00,375,7,420,5,3A,630.62
11057-Slip,Dadar Amritsar Express Slip,MUMBAI DADAR CENTRAL,DR,Dhule,DHI,23.45.00,7.25.00,375,7,420,5,2A,1044.38
11058,Amritsar Dadar Express,AMRITSAR JN,ASR,MUMBAI DADAR CENTRAL,DR,8.30.00,4.00.00,2037,43,2580,25,SL,1242.2
11058,Amritsar Dadar Express,AMRITSAR JN,ASR,MUMBAI DADAR CENTRAL,DR,8.30.00,4.00.00,2037,43,2580,25,3A,3248.28
11058,Amritsar Dadar Express,AMRITSAR JN,ASR,MUMBAI DADAR CENTRAL,DR,8.30.00,4.00.00,2037,43,2580,25,2A,5407.12
11059,MUMBAI LTT - CHHAPRA Godan Exp,LOKMANYA TILAK TERMINUS,LTT,CHHAPRA,CPR,10.55.00,20.55.00,1772,34,2040,22,SL,1083.2
11059,MUMBAI LTT - CHHAPRA Godan Exp,LOKMANYA TILAK TERMINUS,LTT,CHHAPRA,CPR,10.55.00,20.55.00,1772,34,2040,22,3A,2830.9
11059,MUMBAI LTT - CHHAPRA Godan Exp,LOKMANYA TILAK TERMINUS,LTT,CHHAPRA,CPR,10.55.00,20.55.00,1772,34,2040,22,2A,4711.5
11060,CHHAPRA - MUMBAI LTT Godan Exp,CHHAPRA,CPR,LOKMANYA TILAK TERMINUS,LTT,5.30.00,16.05.00,1772,34,2040,22,SL,1083.2
11060,CHHAPRA - MUMBAI LTT Godan Exp,CHHAPRA,CPR,LOKMANYA TILAK TERMINUS,LTT,5.30.00,16.05.00,1772,34,2040,22,3A,2830.9
11060,CHHAPRA - MUMBAI LTT Godan Exp,CHHAPRA,CPR,LOKMANYA TILAK TERMINUS,LTT,5.30.00,16.05.00,1772,34,2040,22,2A,4711.5
11062,DARBHANGA - MUMBAI LTT Pawan Exp,DARBHANGA JN,DBG,LOKMANYA TILAK TERMINUS,LTT,15.50.00,3.45.00,1791,35,2100,22,SL,1094.6
11062,DARBHANGA - MUMBAI LTT Pawan Exp,DARBHANGA JN,DBG,LOKMANYA TILAK TERMINUS,LTT,15.50.00,3.45.00,1791,35,2100,22,3A,2860.82
11062,DARBHANGA - MUMBAI LTT Pawan Exp,DARBHANGA JN,DBG,LOKMANYA TILAK TERMINUS,LTT,15.50.00,3.45.00,1791,35,2100,22,2A,4761.38
56305,Kottayam Kollam Passenger,KOTTAYAM,KTYM,KOLLAM JN,QLN,5.40.00,8.10.00,96,2,120,1,SL,77.6
56305,Kottayam Kollam Passenger,KOTTAYAM,KTYM,KOLLAM JN,QLN,5.40.00,8.10.00,96,2,120,1,3A,191.2
56305,Kottayam Kollam Passenger,KOTTAYAM,KTYM,KOLLAM JN,QLN,5.40.00,8.10.00,96,2,120,1,2A,312
58651,Ranchi Lohardaga Passenger,RANCHI,RNC,Lohardaga,LAD,5.30.00,7.00.00,67,1,60,1,SL,60.2
58651,Ranchi Lohardaga Passenger,RANCHI,RNC,Lohardaga,LAD,5.30.00,7.00.00,67,1,60,1,3A,145.53
58651,Ranchi Lohardaga Passenger,RANCHI,RNC,Lohardaga,LAD,5.30.00,7.00.00,67,1,60,1,2A,235.88
5305,Farrukhabad-KanpurAnwarganj Passenger,FARRUKHABAD,FBD,KANPUR ANWARGANJ,CPA,11.00.00,14.25.00,138,3,180,2,SL,102.8
5305,Farrukhabad-KanpurAnwarganj Passenger,FARRUKHABAD,FBD,KANPUR ANWARGANJ,CPA,11.00.00,14.25.00,138,3,180,2,3A,257.35
5305,Farrukhabad-KanpurAnwarganj Passenger,FARRUKHABAD,FBD,KANPUR ANWARGANJ,CPA,11.00.00,14.25.00,138,3,180,2,2A,422.25
5306,KanpurAnwarganj-Farrukhabad Special,KANPUR ANWARGANJ,CPA,FARRUKHABAD,FBD,14.55.00,18.20.00,138,3,180,2,SL,102.8
5306,KanpurAnwarganj-Farrukhabad Special,KANPUR ANWARGANJ,CPA,FARRUKHABAD,FBD,14.55.00,18.20.00,138,3,180,2,3A,257.35
5306,KanpurAnwarganj-Farrukhabad Special,KANPUR ANWARGANJ,CPA,FARRUKHABAD,FBD,14.55.00,18.20.00,138,3,180,2,2A,422.25
5650,Kamakhya - Mumbai LTT (Weekly) Special,KAMAKHYA,KYQ,LOKMANYA TILAK TERMINUS,LTT,15.50.00,22.45.00,2613,54,3240,33,SL,1587.8
5650,Kamakhya - Mumbai LTT (Weekly) Special,KAMAKHYA,KYQ,LOKMANYA TILAK TERMINUS,LTT,15.50.00,22.45.00,2613,54,3240,33,3A,4155.48
5650,Kamakhya - Mumbai LTT (Weekly) Special,KAMAKHYA,KYQ,LOKMANYA TILAK TERMINUS,LTT,15.50.00,22.45.00,2613,54,3240,33,2A,6919.12
5697,Hill Queen Express,LUMDING JN,LMG,Lower Haflong,LFG,9.45.00,13.30.00,104,3,180,1,SL,82.4
5697,Hill Queen Express,LUMDING JN,LMG,Lower Haflong,LFG,9.45.00,13.30.00,104,3,180,1,3A,203.8
5697,Hill Queen Express,LUMDING JN,LMG,Lower Haflong,LFG,9.45.00,13.30.00,104,3,180,1,2A,333
5698,Hill Queen Express,Lower Haflong,LFG,LUMDING JN,LMG,13.45.00,17.30.00,104,3,180,1,SL,82.4
5698,Hill Queen Express,Lower Haflong,LFG,LUMDING JN,LMG,13.45.00,17.30.00,104,3,180,1,3A,203.8
5698,Hill Queen Express,Lower Haflong,LFG,LUMDING JN,LMG,13.45.00,17.30.00,104,3,180,1,2A,333
6002,Kollam-Chennai Central SF Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,11.30.00,3.40.00,858,16,960,11,SL,534.8
6002,Kollam-Chennai Central SF Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,11.30.00,3.40.00,858,16,960,11,3A,1391.35
6002,Kollam-Chennai Central SF Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,11.30.00,3.40.00,858,16,960,11,2A,2312.25
6003,Chennai Central-Kollam Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,20.45.00,11.30.00,857,14,840,11,SL,534.2
6003,Chennai Central-Kollam Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,20.45.00,11.30.00,857,14,840,11,3A,1389.78
6003,Chennai Central-Kollam Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,20.45.00,11.30.00,857,14,840,11,2A,2309.62
6004,Kollam-Chennai Central Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,17.50.00,10.45.00,857,16,960,11,SL,534.2
6004,Kollam-Chennai Central Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,17.50.00,10.45.00,857,16,960,11,3A,1389.78
6004,Kollam-Chennai Central Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,17.50.00,10.45.00,857,16,960,11,2A,2309.62
6005,Chennai Central-Kollam SF Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,20.45.00,11.30.00,857,14,840,11,SL,534.2
6005,Chennai Central-Kollam SF Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,20.45.00,11.30.00,857,14,840,11,3A,1389.78
6005,Chennai Central-Kollam SF Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,20.45.00,11.30.00,857,14,840,11,2A,2309.62
6006,Kollam-Chennai Central SF Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,17.50.00,10.45.00,857,16,960,11,SL,534.2
6006,Kollam-Chennai Central SF Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,17.50.00,10.45.00,857,16,960,11,3A,1389.78
6006,Kollam-Chennai Central SF Special,KOLLAM JN,QLN,CHENNAI CENTRAL,MAS,17.50.00,10.45.00,857,16,960,11,2A,2309.62
6007,Chennai Central-Kollam SF Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,15.15.00,6.45.00,858,15,900,11,SL,534.8
6007,Chennai Central-Kollam SF Special,CHENNAI CENTRAL,MAS,KOLLAM JN,QLN,15.15.00,6.45.00,858,15,900,11,3A,1391.35
